# t theta omega E_kin E_pot E_tot
3.61000 -0.70181 1.76022 1.54919 2.31833 3.86752
3.62000 -0.68389 1.82318 1.66200 2.20606 3.86806
3.63000 -0.66535 1.88500 1.77662 2.09245 3.86906
3.64000 -0.64619 1.94560 1.89269 1.97787 3.87056
3.65000 -0.62644 2.00492 2.00985 1.86272 3.87257
3.66000 -0.60610 2.06287 2.12773 1.74739 3.87512
3.67000 -0.58519 2.11940 2.24593 1.63230 3.87823
3.68000 -0.56372 2.17443 2.36407 1.51785 3.88192
3.69000 -0.54170 2.22788 2.48173 1.40448 3.88621
3.70000 -0.51916 2.27969 2.59849 1.29262 3.89111
3.71000 -0.49612 2.32978 2.71394 1.18271 3.89665
3.72000 -0.47257 2.37808 2.82764 1.07518 3.90282
3.73000 -0.44856 2.42453 2.93917 0.97048 3.90965
3.74000 -0.42409 2.46905 3.04810 0.86903 3.91713
3.75000 -0.39919 2.51157 3.15399 0.77128 3.92528
3.76000 -0.37387 2.55203 3.25643 0.67765 3.93408
3.77000 -0.34815 2.59037 3.35501 0.58855 3.94356
3.78000 -0.32207 2.62652 3.44930 0.50439 3.95370
3.79000 -0.29563 2.66042 3.53893 0.42557 3.96449
3.80000 -0.26886 2.69202 3.62350 0.35244 3.97594
3.81000 -0.24180 2.72127 3.70265 0.28538 3.98803
3.82000 -0.21445 2.74811 3.77604 0.22471 4.00075
3.83000 -0.18684 2.77249 3.84335 0.17074 4.01408
3.84000 -0.15901 2.79437 3.90426 0.12375 4.02802
3.85000 -0.13096 2.81372 3.95852 0.08401 4.04253
3.86000 -0.10274 2.83050 4.00587 0.05173 4.05760
3.87000 -0.07436 2.84468 4.04610 0.02711 4.07321
3.88000 -0.04586 2.85623 4.07901 0.01031 4.08933
3.89000 -0.01725 2.86512 4.10447 0.00146 4.10593
3.90000 0.01144 2.87135 4.12234 0.00064 4.12298
3.91000 0.04017 2.87491 4.13255 0.00791 4.14046
3.92000 0.06893 2.87577 4.13503 0.02329 4.15833
3.93000 0.09768 2.87395 4.12979 0.04676 4.17656
3.94000 0.12640 2.86944 4.11685 0.07826 4.19510
3.95000 0.15506 2.86225 4.09624 0.11770 4.21394
3.96000 0.18363 2.85240 4.06808 0.16494 4.23302
3.97000 0.21210 2.83989 4.03249 0.21983 4.25231
3.98000 0.24042 2.82475 3.98962 0.28216 4.27178
3.99000 0.26858 2.80701 3.93966 0.35171 4.29137
4.00000 0.29655 2.78670 3.88284 0.42822 4.31105
4.01000 0.32431 2.76384 3.81940 0.51138 4.33079
4.02000 0.35182 2.73848 3.74963 0.60090 4.35053
4.03000 0.37907 2.71066 3.67383 0.69642 4.37025
4.04000 0.40603 2.68041 3.59231 0.79758 4.38989
4.05000 0.43267 2.64780 3.50543 0.90400 4.40943
4.06000 0.45898 2.61287 3.41354 1.01527 4.42881
4.07000 0.48492 2.57567 3.31703 1.13098 4.44801
4.08000 0.51048 2.53625 3.21629 1.25069 4.46698
4.09000 0.53564 2.49468 3.11173 1.37396 4.48569
4.10000 0.56037 2.45102 3.00375 1.50035 4.50410
4.11000 0.58465 2.40532 2.89277 1.62940 4.52218
4.12000 0.60847 2.35764 2.77923 1.76066 4.53989
4.13000 0.63180 2.30805 2.66355 1.89366 4.55721
4.14000 0.65462 2.25661 2.54615 2.02795 4.57410
4.15000 0.67693 2.20339 2.42746 2.16308 4.59054
4.16000 0.69869 2.14844 2.30790 2.29860 4.60650
4.17000 0.71989 2.09184 2.18789 2.43406 4.62196
4.18000 0.74052 2.03364 2.06784 2.56904 4.63689
4.19000 0.76056 1.97391 1.94815 2.70312 4.65127
4.20000 0.77999 1.91271 1.82922 2.83587 4.66509
4.21000 0.79881 1.85010 1.71143 2.96691 4.67834
4.22000 0.81699 1.78614 1.59515 3.09583 4.69098
4.23000 0.83452 1.72090 1.48074 3.22229 4.70303
4.24000 0.85140 1.65442 1.36856 3.34590 4.71446
4.25000 0.86761 1.58678 1.25894 3.46634 4.72527
4.26000 0.88313 1.51802 1.15219 3.58327 4.73546
4.27000 0.89797 1.44820 1.04864 3.69638 4.74502
4.28000 0.91209 1.37737 0.94857 3.80539 4.75396
4.29000 0.92551 1.30558 0.85227 3.91000 4.76227
4.30000 0.93820 1.23289 0.76001 4.00995 4.76996
4.31000 0.95016 1.15935 0.67204 4.10500 4.77704
4.32000 0.96139 1.08499 0.58860 4.19492 4.78352
4.33000 0.97186 1.00987 0.50992 4.27949 4.78941
4.34000 0.98158 0.93404 0.43621 4.35850 4.79472
4.35000 0.99054 0.85753 0.36768 4.43179 4.79946
4.36000 0.99873 0.78039 0.30450 4.49916 4.80366
4.37000 1.00615 0.70266 0.24686 4.56047 4.80733
4.38000 1.01278 0.62438 0.19493 4.61558 4.81050
4.39000 1.01863 0.54559 0.14884 4.66435 4.81319
4.40000 1.02369 0.46634 0.10874 4.70668 4.81541
4.41000 1.02796 0.38665 0.07475 4.74246 4.81721
4.42000 1.03142 0.30657 0.04699 4.77161 4.81860
4.43000 1.03409 0.22614 0.02557 4.79405 4.81962
4.44000 1.03595 0.14538 0.01057 4.80972 4.82029
4.45000 1.03699 0.06435 0.00207 4.81857 4.82064
4.46000 1.03723 -0.01693 0.00014 4.82058 4.82072
